Country,Year,Population
Australia,1999-2003,931727
Australia,2004-2008,1493963
Australia,2009-2013,2706778
Australia,2014-2018,2138735
Australia,2019-2023,937975
Brunei,1999-2003,1164878
Brunei,2004-2008,3981723
Brunei,2009-2013,5922108
Brunei,2014-2018,6780218
Brunei,2019-2023,2466506
China,1999-2003,1977587
China,2004-2008,2974704
China,2009-2013,6350761
China,2014-2018,10641259
China,2019-2023,5213824
India,1999-2003,650690
India,2004-2008,1650991
India,2009-2013,3316003
India,2014-2018,2645299
India,2019-2023,1891502
Indonesia,1999-2003,3020652
Indonesia,2004-2008,7203046
Indonesia,2009-2013,11976877
Indonesia,2014-2018,14739789
Indonesia,2019-2023,8935929
South Korea,1999-2003,290983
South Korea,2004-2008,931239
South Korea,2009-2013,1313431
South Korea,2014-2018,2352680
South Korea,2019-2023,1343080
Philippines,1999-2003,449550
Philippines,2004-2008,936147
Philippines,2009-2013,2362252
Philippines,2014-2018,2357522
Philippines,2019-2023,989000
Singapore,1999-2003,30741945
Singapore,2004-2008,50307247
Singapore,2009-2013,65340775
Singapore,2014-2018,63194381
Singapore,2019-2023,25256666
Thailand,1999-2003,4776823
Thailand,2004-2008,8430599
Thailand,2009-2013,6769464
Thailand,2014-2018,8174881
Thailand,2019-2023,4605136
Vietnam,1999-2003,65377
Vietnam,2004-2008,306772
Vietnam,2009-2013,929447
Vietnam,2014-2018,1356724
Vietnam,2019-2023,983237
